k	ak	bk	ck	dk	ek	ekc	apk	
4.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.0000e+00	3.1255e-02	1.5003e+00	5.0000e-01	
5.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.1250e+00	3.1255e-02	1.5315e+00	5.0000e-01	
5.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.2500e+00	3.1255e-02	1.5628e+00	5.0000e-01	
5.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.3750e+00	3.1255e-02	1.5940e+00	5.0000e-01	
5.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.5000e+00	3.1255e-02	1.6253e+00	5.0000e-01	
5.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.6250e+00	3.1255e-02	1.6565e+00	5.0000e-01	
5.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.7500e+00	3.1255e-02	1.6878e+00	5.0000e-01	
5.6000e+01	0.0000e+00	0.0000e+00	0.0000e+00	6.8750e+00	3.1255e-02	1.7191e+00	5.0000e-01	
5.7000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.0000e+00	3.1255e-02	1.7503e+00	5.0000e-01	
5.8000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.1250e+00	3.1255e-02	1.7816e+00	5.0000e-01	
5.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.2500e+00	3.1255e-02	1.8128e+00	5.0000e-01	
6.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.3750e+00	3.1255e-02	1.8441e+00	5.0000e-01	
6.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.5000e+00	3.1255e-02	1.8753e+00	5.0000e-01	
6.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.6250e+00	3.1255e-02	1.9066e+00	5.0000e-01	
6.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.7500e+00	3.1255e-02	1.9378e+00	5.0000e-01	
6.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	7.8750e+00	3.1255e-02	1.9691e+00	5.0000e-01	
6.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.0000e+00	3.1255e-02	2.0004e+00	5.0000e-01	
6.6000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.1250e+00	3.1255e-02	2.0316e+00	5.0000e-01	
6.7000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.2500e+00	3.1255e-02	2.0629e+00	5.0000e-01	
6.8000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.3750e+00	3.1255e-02	2.0941e+00	5.0000e-01	
6.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.5000e+00	3.1255e-02	2.1254e+00	5.0000e-01	
7.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.6250e+00	3.1255e-02	2.1566e+00	5.0000e-01	
7.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.7500e+00	3.1255e-02	2.1879e+00	5.0000e-01	
7.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	8.8750e+00	3.1255e-02	2.2191e+00	5.0000e-01	
7.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.0000e+00	3.1255e-02	2.2504e+00	5.0000e-01	
7.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.1250e+00	3.1255e-02	2.2817e+00	5.0000e-01	
7.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.2500e+00	3.1255e-02	2.3129e+00	5.0000e-01	
7.6000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.3750e+00	3.1255e-02	2.3442e+00	5.0000e-01	
7.7000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.5000e+00	3.1255e-02	2.3754e+00	5.0000e-01	
7.8000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.6250e+00	3.1255e-02	2.4067e+00	5.0000e-01	
7.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.7500e+00	3.1255e-02	2.4379e+00	5.0000e-01	
8.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	9.8750e+00	3.1255e-02	2.4692e+00	5.0000e-01	
8.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+01	3.1255e-02	2.5004e+00	5.0000e-01	
8.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0125e+01	3.1255e-02	2.5317e+00	5.0000e-01	
8.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0250e+01	3.1255e-02	2.5629e+00	5.0000e-01	
8.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0375e+01	3.1255e-02	2.5942e+00	5.0000e-01	
8.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0500e+01	3.1255e-02	2.6255e+00	5.0000e-01	
8.6000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0625e+01	3.1255e-02	2.6567e+00	5.0000e-01	
8.7000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0750e+01	3.1255e-02	2.6880e+00	5.0000e-01	
8.8000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.0875e+01	3.1255e-02	2.7192e+00	5.0000e-01	
8.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1000e+01	3.1255e-02	2.7505e+00	5.0000e-01	
9.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1125e+01	3.1255e-02	2.7817e+00	5.0000e-01	
9.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1250e+01	3.1255e-02	2.8130e+00	5.0000e-01	
9.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1375e+01	3.1255e-02	2.8442e+00	5.0000e-01	
9.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1500e+01	3.1255e-02	2.8755e+00	5.0000e-01	
9.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1625e+01	3.1255e-02	2.9068e+00	5.0000e-01	
9.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1750e+01	3.1255e-02	2.9380e+00	5.0000e-01	
9.6000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.1875e+01	3.1255e-02	2.9693e+00	5.0000e-01	
9.7000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.2000e+01	3.1255e-02	3.0005e+00	5.0000e-01	
9.8000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.2125e+01	3.1255e-02	3.0318e+00	5.0000e-01	
9.9000e+01	0.0000e+00	0.0000e+00	0.0000e+00	1.2250e+01	3.1255e-02	3.0630e+00	5.0000e-01	
1.0000e+02	0.0000e+00	0.0000e+00	0.0000e+00	1.2375e+01	3.1255e-02	3.0943e+00	5.0000e-01	
1.0100e+02	0.0000e+00	0.0000e+00	0.0000e+00	1.2500e+01	3.1255e-02	3.1255e+00	5.0000e-01	
