k	ak	bk	ck	dk	ek	ekc	apk	
7.9000e+01	1.5967e-04	8.0103e-01	-4.1035e-03	7.9550e+01	4.7409e-01	4.0274e+01	4.6732e-01	
8.0000e+01	1.5613e-04	8.2240e-01	-4.1894e-03	8.0570e+01	4.7206e-01	4.0746e+01	4.6537e-01	
8.1000e+01	1.5207e-04	8.4266e-01	-4.2247e-03	8.1591e+01	4.6985e-01	4.1216e+01	4.6324e-01	
8.2000e+01	1.4747e-04	8.6181e-01	-4.2026e-03	8.2612e+01	4.6742e-01	4.1684e+01	4.6089e-01	
8.3000e+01	1.4233e-04	8.7976e-01	-4.1104e-03	8.3632e+01	4.6475e-01	4.2148e+01	4.5829e-01	
8.4000e+01	1.3664e-04	8.9640e-01	-3.9330e-03	8.4653e+01	4.6179e-01	4.2610e+01	4.5540e-01	
8.5000e+01	1.3037e-04	9.1155e-01	-3.6588e-03	8.5673e+01	4.5849e-01	4.3069e+01	4.5218e-01	
8.6000e+01	1.2354e-04	9.2494e-01	-3.2619e-03	8.6693e+01	4.5478e-01	4.3523e+01	4.4855e-01	
8.7000e+01	1.1613e-04	9.3624e-01	-2.7075e-03	8.7713e+01	4.5060e-01	4.3974e+01	4.4443e-01	
8.8000e+01	1.0816e-04	9.4500e-01	-1.9671e-03	8.8732e+01	4.4583e-01	4.4420e+01	4.3974e-01	
8.9000e+01	9.9654e-05	9.5066e-01	-1.0060e-03	8.9751e+01	4.4036e-01	4.4860e+01	4.3433e-01	
9.0000e+01	9.0638e-05	9.5246e-01	2.8299e-04	9.0770e+01	4.3401e-01	4.5294e+01	4.2805e-01	
9.1000e+01	8.1160e-05	9.4946e-01	1.9573e-03	9.1788e+01	4.2655e-01	4.5721e+01	4.2065e-01	
9.2000e+01	7.1297e-05	9.4043e-01	4.1612e-03	9.2804e+01	4.1767e-01	4.6138e+01	4.1184e-01	
9.3000e+01	6.1147e-05	9.2377e-01	7.0454e-03	9.3820e+01	4.0696e-01	4.6545e+01	4.0119e-01	
9.4000e+01	5.0852e-05	8.9724e-01	1.0893e-02	9.4833e+01	3.9380e-01	4.6939e+01	3.8809e-01	
9.5000e+01	4.0602e-05	8.5781e-01	1.6064e-02	9.5844e+01	3.7728e-01	4.7316e+01	3.7164e-01	
9.6000e+01	3.0652e-05	8.0081e-01	2.3395e-02	9.6850e+01	3.5606e-01	4.7672e+01	3.5048e-01	
9.7000e+01	2.1322e-05	7.1972e-01	3.3758e-02	9.7850e+01	3.2795e-01	4.8000e+01	3.2244e-01	
9.8000e+01	1.3043e-05	6.0505e-01	4.9412e-02	9.8840e+01	2.8931e-01	4.8290e+01	2.8386e-01	
9.9000e+01	6.4132e-06	4.4246e-01	7.7424e-02	9.9804e+01	2.3323e-01	4.8523e+01	2.2783e-01	
1.0000e+02	1.9891e-06	2.0629e-01	1.0872e-01	1.0076e+02	1.4748e-01	4.8670e+01	1.4212e-01	
1.0100e+02	0.0000e+00	0.0000e+00	0.0000e+00	1.0200e+02	5.3182e-03	4.8676e+01	0.0000e+00	
