k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
3.5000e+01	-3.4294e-10	-2.4263e-09	-5.1263e-05	1.3462e-04	5.0000e-01	3.4000e+01	7.3469e-13	2.8578e-02	1.0000e+00	1.0002e+00	
3.6000e+01	-3.4379e-10	-2.7221e-09	-5.1835e-05	1.3663e-04	5.0000e-01	3.5000e+01	7.1422e-13	2.7784e-02	1.0000e+00	1.0002e+00	
3.7000e+01	-3.4447e-10	-2.9785e-09	-5.2425e-05	1.3861e-04	5.0000e-01	3.6000e+01	6.9483e-13	2.7033e-02	1.0000e+00	1.0002e+00	
3.8000e+01	-3.4491e-10	-3.1936e-09	-5.3063e-05	1.4054e-04	5.0000e-01	3.7000e+01	6.7646e-13	2.6322e-02	1.0000e+00	1.0002e+00	
3.9000e+01	-3.4526e-10	-3.3678e-09	-5.3798e-05	1.4244e-04	5.0000e-01	3.8000e+01	6.5903e-13	2.5647e-02	1.0000e+00	1.0002e+00	
4.0000e+01	-3.4548e-10	-3.5037e-09	-5.4648e-05	1.4431e-04	5.0000e-01	3.9000e+01	6.4247e-13	2.5006e-02	1.0000e+00	1.0002e+00	
4.1000e+01	-3.4568e-10	-3.6072e-09	-5.5635e-05	1.4615e-04	5.0000e-01	4.0000e+01	6.2674e-13	2.4396e-02	1.0000e+00	1.0002e+00	
4.2000e+01	-3.4574e-10	-3.6863e-09	-5.6751e-05	1.4796e-04	5.0000e-01	4.1000e+01	6.1179e-13	2.3815e-02	1.0000e+00	1.0002e+00	
4.3000e+01	-3.4580e-10	-3.7515e-09	-5.7993e-05	1.4976e-04	5.0000e-01	4.2000e+01	5.9758e-13	2.3261e-02	1.0000e+00	1.0002e+00	
4.4000e+01	-3.4571e-10	-3.8154e-09	-5.9320e-05	1.5152e-04	5.0000e-01	4.3000e+01	5.8406e-13	2.2733e-02	1.0000e+00	1.0002e+00	
4.5000e+01	-3.4572e-10	-3.8901e-09	-6.0701e-05	1.5327e-04	5.0000e-01	4.4000e+01	5.7118e-13	2.2227e-02	1.0000e+00	1.0002e+00	
4.6000e+01	-3.4589e-10	-3.9841e-09	-6.2084e-05	1.5501e-04	5.0000e-01	4.5000e+01	5.5888e-13	2.1744e-02	1.0000e+00	1.0002e+00	
4.7000e+01	-3.4611e-10	-4.1000e-09	-6.3401e-05	1.5673e-04	5.0000e-01	4.6000e+01	5.4711e-13	2.1282e-02	1.0000e+00	1.0002e+00	
4.8000e+01	-3.4653e-10	-4.2342e-09	-6.4617e-05	1.5844e-04	5.0000e-01	4.7000e+01	5.3582e-13	2.0838e-02	1.0000e+00	1.0002e+00	
4.9000e+01	-3.4689e-10	-4.3797e-09	-6.5673e-05	1.6011e-04	5.0000e-01	4.8000e+01	5.2497e-13	2.0413e-02	1.0000e+00	1.0002e+00	
5.0000e+01	-3.4713e-10	-4.5282e-09	-6.6544e-05	1.6173e-04	5.0000e-01	4.9000e+01	5.1452e-13	2.0005e-02	1.0000e+00	1.0002e+00	
5.1000e+01	-3.4730e-10	-4.6722e-09	-6.7226e-05	1.6332e-04	5.0000e-01	5.0000e+01	5.0445e-13	1.9612e-02	1.0000e+00	1.0002e+00	
5.2000e+01	-3.4736e-10	-4.8048e-09	-6.7722e-05	1.6488e-04	5.0000e-01	5.1000e+01	4.9472e-13	1.9235e-02	1.0000e+00	1.0002e+00	
5.3000e+01	-3.4756e-10	-4.9187e-09	-6.8067e-05	1.6642e-04	5.0000e-01	5.2000e+01	4.8533e-13	1.8872e-02	1.0000e+00	1.0002e+00	
5.4000e+01	-3.4776e-10	-5.0063e-09	-6.8310e-05	1.6794e-04	5.0000e-01	5.3000e+01	4.7624e-13	1.8523e-02	1.0000e+00	1.0002e+00	
