k	Q11	Q12	Q22	ak	dk	alphak	tauk	deltak	gammak	gammapk	
4.3000e+01	-9.3402e-10	1.1131e+01	-5.0719e+02	5.0000e-01	9.6985e+02	9.5610e-01	4.3902e-02	1.0000e+00	-4.0282e-07	4.5556e+01	
4.4000e+01	-9.2962e-10	1.1388e+01	-5.3022e+02	5.0000e-01	1.0149e+03	9.5705e-01	4.2949e-02	1.0000e+00	-4.1168e-07	4.6567e+01	
4.5000e+01	-9.2506e-10	1.1637e+01	-5.5376e+02	5.0000e-01	1.0610e+03	9.5796e-01	4.2037e-02	1.0000e+00	-4.2060e-07	4.7578e+01	
4.6000e+01	-9.2034e-10	1.1885e+01	-5.7779e+02	5.0000e-01	1.1080e+03	9.5884e-01	4.1162e-02	1.0000e+00	-4.2958e-07	4.8588e+01	
4.7000e+01	-9.1547e-10	1.2144e+01	-6.0235e+02	5.0000e-01	1.1561e+03	9.5968e-01	4.0324e-02	1.0000e+00	-4.3862e-07	4.9598e+01	
4.8000e+01	-9.1044e-10	1.2402e+01	-6.2740e+02	5.0000e-01	1.2052e+03	9.6048e-01	3.9519e-02	1.0000e+00	-4.4773e-07	5.0609e+01	
4.9000e+01	-9.0524e-10	1.2652e+01	-6.5296e+02	5.0000e-01	1.2553e+03	9.6125e-01	3.8746e-02	1.0000e+00	-4.5689e-07	5.1618e+01	
5.0000e+01	-8.9989e-10	1.2903e+01	-6.7902e+02	5.0000e-01	1.3064e+03	9.6200e-01	3.8003e-02	1.0000e+00	-4.6611e-07	5.2628e+01	
5.1000e+01	-8.9437e-10	1.3157e+01	-7.0559e+02	5.0000e-01	1.3585e+03	9.6271e-01	3.7287e-02	1.0000e+00	-4.7538e-07	5.3638e+01	
5.2000e+01	-8.8869e-10	1.3403e+01	-7.3265e+02	5.0000e-01	1.4117e+03	9.6340e-01	3.6599e-02	1.0000e+00	-4.8470e-07	5.4647e+01	
5.3000e+01	-8.8284e-10	1.3660e+01	-7.6023e+02	5.0000e-01	1.4658e+03	9.6406e-01	3.5935e-02	1.0000e+00	-4.9408e-07	5.5656e+01	
5.4000e+01	-8.7683e-10	1.3913e+01	-7.8831e+02	5.0000e-01	1.5210e+03	9.6470e-01	3.5295e-02	1.0000e+00	-5.0355e-07	5.6665e+01	
5.5000e+01	-8.7063e-10	1.4160e+01	-8.1689e+02	5.0000e-01	1.5771e+03	9.6532e-01	3.4678e-02	1.0000e+00	-5.1313e-07	5.7674e+01	
5.6000e+01	-8.6424e-10	1.4413e+01	-8.4598e+02	5.0000e-01	1.6343e+03	9.6592e-01	3.4082e-02	1.0000e+00	-5.2287e-07	5.8683e+01	
5.7000e+01	-8.5764e-10	1.4671e+01	-8.7558e+02	5.0000e-01	1.6925e+03	9.6649e-01	3.3506e-02	1.0000e+00	-5.3280e-07	5.9691e+01	
5.8000e+01	-8.5080e-10	1.4919e+01	-9.0567e+02	5.0000e-01	1.7517e+03	9.6705e-01	3.2949e-02	1.0000e+00	-5.4296e-07	6.0699e+01	
5.9000e+01	-8.4370e-10	1.5174e+01	-9.3628e+02	5.0000e-01	1.8119e+03	9.6759e-01	3.2411e-02	1.0000e+00	-5.5340e-07	6.1708e+01	
6.0000e+01	-8.3630e-10	1.5419e+01	-9.6738e+02	5.0000e-01	1.8731e+03	9.6811e-01	3.1890e-02	1.0000e+00	-5.6411e-07	6.2716e+01	
6.1000e+01	-8.2857e-10	1.5676e+01	-9.9899e+02	5.0000e-01	1.9353e+03	9.6861e-01	3.1385e-02	1.0000e+00	-5.7508e-07	6.3724e+01	
6.2000e+01	-8.2048e-10	1.5925e+01	-1.0311e+03	5.0000e-01	1.9985e+03	9.6910e-01	3.0897e-02	1.0000e+00	-5.8625e-07	6.4732e+01	
6.3000e+01	-8.1200e-10	1.6177e+01	-1.0637e+03	5.0000e-01	2.0627e+03	9.6958e-01	3.0423e-02	1.0000e+00	-5.9752e-07	6.5739e+01	
6.4000e+01	-8.0311e-10	1.6432e+01	-1.0968e+03	5.0000e-01	2.1280e+03	9.7004e-01	2.9964e-02	1.0000e+00	-6.0871e-07	6.6747e+01	
6.5000e+01	-7.9380e-10	1.6680e+01	-1.1305e+03	5.0000e-01	2.1942e+03	9.7048e-01	2.9518e-02	1.0000e+00	-6.1961e-07	6.7754e+01	
6.6000e+01	-7.8408e-10	1.6935e+01	-1.1646e+03	5.0000e-01	2.2615e+03	9.7091e-01	2.9086e-02	1.0000e+00	-6.3004e-07	6.8762e+01	
6.7000e+01	-7.7394e-10	1.7185e+01	-1.1992e+03	5.0000e-01	2.3297e+03	9.7133e-01	2.8666e-02	1.0000e+00	-6.3991e-07	6.9769e+01	
6.8000e+01	-7.6337e-10	1.7438e+01	-1.2344e+03	5.0000e-01	2.3990e+03	9.7174e-01	2.8258e-02	1.0000e+00	-6.4929e-07	7.0776e+01	
6.9000e+01	-7.5236e-10	1.7690e+01	-1.2700e+03	5.0000e-01	2.4693e+03	9.7214e-01	2.7862e-02	1.0000e+00	-6.5844e-07	7.1783e+01	
7.0000e+01	-7.4085e-10	1.7940e+01	-1.3062e+03	5.0000e-01	2.5405e+03	9.7252e-01	2.7476e-02	1.0000e+00	-6.6754e-07	7.2790e+01	
7.1000e+01	-7.2880e-10	1.8190e+01	-1.3428e+03	5.0000e-01	2.6128e+03	9.7290e-01	2.7101e-02	1.0000e+00	-6.7668e-07	7.3797e+01	
7.2000e+01	-7.1613e-10	1.8445e+01	-1.3799e+03	5.0000e-01	2.6861e+03	9.7326e-01	2.6737e-02	1.0000e+00	-6.8591e-07	7.4804e+01	
7.3000e+01	-7.0279e-10	1.8690e+01	-1.4176e+03	5.0000e-01	2.7604e+03	9.7362e-01	2.6382e-02	1.0000e+00	-6.9524e-07	7.5811e+01	
7.4000e+01	-6.8872e-10	1.8943e+01	-1.4558e+03	5.0000e-01	2.8357e+03	9.7396e-01	2.6036e-02	1.0000e+00	-7.0466e-07	7.6817e+01	
7.5000e+01	-6.7386e-10	1.9197e+01	-1.4944e+03	5.0000e-01	2.9120e+03	9.7430e-01	2.5699e-02	1.0000e+00	-7.1414e-07	7.7824e+01	
7.6000e+01	-6.5814e-10	1.9452e+01	-1.5336e+03	5.0000e-01	2.9894e+03	9.7463e-01	2.5371e-02	1.0000e+00	-7.2360e-07	7.8830e+01	
7.7000e+01	-6.4149e-10	1.9683e+01	-1.5732e+03	5.0000e-01	3.0677e+03	9.7495e-01	2.5051e-02	1.0000e+00	-7.3295e-07	7.9836e+01	
7.8000e+01	-6.2384e-10	1.9965e+01	-1.6134e+03	5.0000e-01	3.1470e+03	9.7526e-01	2.4739e-02	1.0000e+00	-7.4209e-07	8.0843e+01	
7.9000e+01	-6.0514e-10	2.0202e+01	-1.6541e+03	5.0000e-01	3.2274e+03	9.7556e-01	2.4435e-02	1.0000e+00	-7.5094e-07	8.1849e+01	
8.0000e+01	-5.8529e-10	2.0452e+01	-1.6953e+03	5.0000e-01	3.3087e+03	9.7586e-01	2.4139e-02	1.0000e+00	-7.5943e-07	8.2855e+01	
8.1000e+01	-5.6422e-10	2.0724e+01	-1.7370e+03	5.0000e-01	3.3910e+03	9.7615e-01	2.3849e-02	1.0000e+00	-7.6751e-07	8.3861e+01	
8.2000e+01	-5.4184e-10	2.0936e+01	-1.7791e+03	5.0000e-01	3.4745e+03	9.7643e-01	2.3566e-02	1.0000e+00	-7.7514e-07	8.4867e+01	
8.3000e+01	-5.1803e-10	2.1207e+01	-1.8218e+03	5.0000e-01	3.5588e+03	9.7671e-01	2.3290e-02	1.0000e+00	-7.8226e-07	8.5873e+01	
8.4000e+01	-4.9269e-10	2.1406e+01	-1.8649e+03	5.0000e-01	3.6443e+03	9.7698e-01	2.3021e-02	1.0000e+00	-7.8888e-07	8.6879e+01	
8.5000e+01	-4.6568e-10	2.1680e+01	-1.9087e+03	5.0000e-01	3.7306e+03	9.7724e-01	2.2757e-02	1.0000e+00	-7.9502e-07	8.7884e+01	
8.6000e+01	-4.3684e-10	2.1960e+01	-1.9529e+03	5.0000e-01	3.8179e+03	9.7750e-01	2.2500e-02	1.0000e+00	-8.0073e-07	8.8890e+01	
8.7000e+01	-4.0598e-10	2.2255e+01	-1.9976e+03	5.0000e-01	3.9062e+03	9.7775e-01	2.2248e-02	1.0000e+00	-8.0604e-07	8.9896e+01	
8.8000e+01	-3.7291e-10	2.2445e+01	-2.0428e+03	5.0000e-01	3.9957e+03	9.7800e-01	2.2002e-02	1.0000e+00	-8.1096e-07	9.0901e+01	
8.9000e+01	-3.3741e-10	2.2722e+01	-2.0885e+03	5.0000e-01	4.0861e+03	9.7824e-01	2.1761e-02	1.0000e+00	-8.1546e-07	9.1907e+01	
9.0000e+01	-2.9930e-10	2.3044e+01	-2.1348e+03	5.0000e-01	4.1773e+03	9.7847e-01	2.1526e-02	1.0000e+00	-8.1945e-07	9.2912e+01	
9.1000e+01	-2.5845e-10	2.3234e+01	-2.1814e+03	5.0000e-01	4.2699e+03	9.7870e-01	2.1295e-02	1.0000e+00	-8.2275e-07	9.3918e+01	
9.2000e+01	-2.1481e-10	2.3477e+01	-2.2286e+03	5.0000e-01	4.3633e+03	9.7893e-01	2.1070e-02	1.0000e+00	-8.2532e-07	9.4923e+01	
9.3000e+01	-1.6843e-10	2.3675e+01	-2.2763e+03	5.0000e-01	4.4578e+03	9.7915e-01	2.0849e-02	1.0000e+00	-8.2725e-07	9.5928e+01	
9.4000e+01	-1.1926e-10	2.3994e+01	-2.3246e+03	5.0000e-01	4.5531e+03	9.7937e-01	2.0633e-02	1.0000e+00	-8.2803e-07	9.6933e+01	
9.5000e+01	-6.3927e-11	2.4232e+01	-2.3733e+03	5.0000e-01	4.6496e+03	9.7958e-01	2.0421e-02	1.0000e+00	-8.2512e-07	9.7939e+01	
9.6000e+01	9.9345e-13	2.4566e+01	-2.4226e+03	5.0000e-01	4.7469e+03	9.7979e-01	2.0214e-02	1.0000e+00	-8.2405e-07	9.8944e+01	
9.7000e+01	6.7067e-11	2.4599e+01	-2.4721e+03	5.0000e-01	4.8457e+03	9.7999e-01	2.0010e-02	1.0000e+00	-8.2936e-07	9.9949e+01	
9.8000e+01	1.2692e-10	2.4870e+01	-2.5223e+03	5.0000e-01	4.9451e+03	9.8019e-01	1.9811e-02	1.0000e+00	-8.2173e-07	1.0095e+02	
9.9000e+01	2.0121e-10	2.5199e+01	-2.5731e+03	5.0000e-01	5.0454e+03	9.8038e-01	1.9616e-02	1.0000e+00	-7.7927e-07	1.0196e+02	
1.0000e+02	2.6972e-10	2.5510e+01	-2.6244e+03	5.0000e-01	5.1468e+03	9.8623e-01	1.3775e-02	1.9019e+01	2.4120e+01	1.3829e+03	
1.0100e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.2704e+03	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
