k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	gammakp	
3.5000e+01	-3.1515e-11	5.0000e-01	-3.4116e+02	9.1124e+00	6.4587e+02	9.4661e-01	5.3393e-02	1.0000e+00	-1.0969e-08	3.7458e+01	
3.6000e+01	-3.1402e-11	5.0000e-01	-3.6015e+02	9.3716e+00	6.8281e+02	9.4801e-01	5.1987e-02	1.0000e+00	-1.1261e-08	3.8471e+01	
3.7000e+01	-3.1285e-11	5.0000e-01	-3.7963e+02	9.6163e+00	7.2079e+02	9.4935e-01	5.0653e-02	1.0000e+00	-1.1553e-08	3.9484e+01	
3.8000e+01	-3.1166e-11	5.0000e-01	-3.9963e+02	9.8736e+00	7.5976e+02	9.5061e-01	4.9386e-02	1.0000e+00	-1.1844e-08	4.0497e+01	
3.9000e+01	-3.1042e-11	5.0000e-01	-4.2013e+02	1.0127e+01	7.9975e+02	9.5182e-01	4.8182e-02	1.0000e+00	-1.2134e-08	4.1509e+01	
4.0000e+01	-3.0915e-11	5.0000e-01	-4.4114e+02	1.0378e+01	8.4076e+02	9.5296e-01	4.7035e-02	1.0000e+00	-1.2424e-08	4.2521e+01	
4.1000e+01	-3.0784e-11	5.0000e-01	-4.6266e+02	1.0636e+01	8.8277e+02	9.5406e-01	4.5942e-02	1.0000e+00	-1.2714e-08	4.3533e+01	
4.2000e+01	-3.0648e-11	5.0000e-01	-4.8468e+02	1.0890e+01	9.2579e+02	9.5510e-01	4.4899e-02	1.0000e+00	-1.3006e-08	4.4545e+01	
4.3000e+01	-3.0507e-11	5.0000e-01	-5.0719e+02	1.1135e+01	9.6985e+02	9.5610e-01	4.3902e-02	1.0000e+00	-1.3298e-08	4.5556e+01	
4.4000e+01	-3.0362e-11	5.0000e-01	-5.3024e+02	1.1399e+01	1.0149e+03	9.5705e-01	4.2949e-02	1.0000e+00	-1.3592e-08	4.6567e+01	
4.5000e+01	-3.0212e-11	5.0000e-01	-5.5377e+02	1.1646e+01	1.0609e+03	9.5796e-01	4.2037e-02	1.0000e+00	-1.3888e-08	4.7578e+01	
4.6000e+01	-3.0056e-11	5.0000e-01	-5.7780e+02	1.1895e+01	1.1080e+03	9.5884e-01	4.1162e-02	1.0000e+00	-1.4186e-08	4.8588e+01	
4.7000e+01	-2.9896e-11	5.0000e-01	-6.0236e+02	1.2157e+01	1.1561e+03	9.5968e-01	4.0324e-02	1.0000e+00	-1.4486e-08	4.9598e+01	
4.8000e+01	-2.9730e-11	5.0000e-01	-6.2741e+02	1.2407e+01	1.2052e+03	9.6048e-01	3.9519e-02	1.0000e+00	-1.4788e-08	5.0609e+01	
4.9000e+01	-2.9559e-11	5.0000e-01	-6.5296e+02	1.2652e+01	1.2553e+03	9.6125e-01	3.8746e-02	1.0000e+00	-1.5092e-08	5.1618e+01	
5.0000e+01	-2.9382e-11	5.0000e-01	-6.7903e+02	1.2911e+01	1.3064e+03	9.6200e-01	3.8003e-02	1.0000e+00	-1.5398e-08	5.2628e+01	
5.1000e+01	-2.9200e-11	5.0000e-01	-7.0558e+02	1.3153e+01	1.3586e+03	9.6271e-01	3.7287e-02	1.0000e+00	-1.5706e-08	5.3638e+01	
5.2000e+01	-2.9013e-11	5.0000e-01	-7.3266e+02	1.3407e+01	1.4117e+03	9.6340e-01	3.6599e-02	1.0000e+00	-1.6015e-08	5.4647e+01	
5.3000e+01	-2.8821e-11	5.0000e-01	-7.6024e+02	1.3667e+01	1.4658e+03	9.6407e-01	3.5935e-02	1.0000e+00	-1.6326e-08	5.5656e+01	
5.4000e+01	-2.8622e-11	5.0000e-01	-7.8831e+02	1.3909e+01	1.5210e+03	9.6470e-01	3.5295e-02	1.0000e+00	-1.6640e-08	5.6665e+01	
5.5000e+01	-2.8418e-11	5.0000e-01	-8.1690e+02	1.4164e+01	1.5771e+03	9.6532e-01	3.4678e-02	1.0000e+00	-1.6958e-08	5.7674e+01	
5.6000e+01	-2.8208e-11	5.0000e-01	-8.4599e+02	1.4421e+01	1.6343e+03	9.6592e-01	3.4082e-02	1.0000e+00	-1.7281e-08	5.8683e+01	
5.7000e+01	-2.7990e-11	5.0000e-01	-8.7558e+02	1.4666e+01	1.6925e+03	9.6649e-01	3.3506e-02	1.0000e+00	-1.7611e-08	5.9691e+01	
5.8000e+01	-2.7765e-11	5.0000e-01	-9.0566e+02	1.4901e+01	1.7517e+03	9.6705e-01	3.2949e-02	1.0000e+00	-1.7948e-08	6.0699e+01	
5.9000e+01	-2.7531e-11	5.0000e-01	-9.3627e+02	1.5164e+01	1.8119e+03	9.6759e-01	3.2411e-02	1.0000e+00	-1.8295e-08	6.1708e+01	
