k	ak	bk	ck	dk	
7.7000e+01	4.4148e-01	5.5159e+03	2.0331e+00	1.7581e+02	
7.8000e+01	4.2737e-01	5.6888e+03	2.1471e+00	1.7715e+02	
7.9000e+01	4.1319e-01	5.8638e+03	2.2590e+00	1.7843e+02	
8.0000e+01	3.9855e-01	6.0407e+03	2.3947e+00	1.7963e+02	
8.1000e+01	3.8343e-01	6.2195e+03	2.4987e+00	1.8085e+02	
8.2000e+01	3.6824e-01	6.4003e+03	2.5788e+00	1.8206e+02	
8.3000e+01	3.5233e-01	6.5827e+03	2.6519e+00	1.8326e+02	
8.4000e+01	3.3642e-01	6.7671e+03	2.6813e+00	1.8447e+02	
8.5000e+01	3.2024e-01	6.9532e+03	2.7222e+00	1.8562e+02	
8.6000e+01	3.0348e-01	7.1409e+03	2.7416e+00	1.8675e+02	
8.7000e+01	2.8665e-01	7.3302e+03	2.7260e+00	1.8789e+02	
8.8000e+01	2.6929e-01	7.5210e+03	2.6926e+00	1.8902e+02	
8.9000e+01	2.5173e-01	7.7133e+03	2.6468e+00	1.9010e+02	
9.0000e+01	2.3381e-01	7.9070e+03	2.5331e+00	1.9126e+02	
9.1000e+01	2.1616e-01	8.1019e+03	2.4157e+00	1.9235e+02	
9.2000e+01	1.9800e-01	8.2980e+03	2.3281e+00	1.9332e+02	
9.3000e+01	1.8019e-01	8.4953e+03	2.1430e+00	1.9441e+02	
9.4000e+01	1.6267e-01	8.6936e+03	1.9062e+00	1.9552e+02	
9.5000e+01	1.4487e-01	8.8928e+03	1.6779e+00	1.9655e+02	
9.6000e+01	1.2638e-01	9.0926e+03	1.4600e+00	1.9750e+02	
9.7000e+01	1.0966e-01	9.2933e+03	1.1740e+00	1.9849e+02	
9.8000e+01	9.0890e-02	9.4944e+03	8.7157e-01	1.9947e+02	
9.9000e+01	6.8999e-02	9.6959e+03	5.7105e-01	2.0038e+02	
1.0000e+02	3.3031e-02	9.8978e+03	3.0071e-01	2.0121e+02	
1.0100e+02	0.0000e+00	1.0201e+04	0.0000e+00	0.0000e+00	
