k	ak	bk	ck	dk	
7.8000e+01	4.6639e-01	5.6465e+03	1.5113e+00	1.7553e+02	
7.9000e+01	4.5177e-01	5.8184e+03	1.6235e+00	1.7688e+02	
8.0000e+01	4.3644e-01	5.9922e+03	1.7578e+00	1.7816e+02	
8.1000e+01	4.1949e-01	6.1675e+03	1.8684e+00	1.7949e+02	
8.2000e+01	4.0318e-01	6.3453e+03	1.9797e+00	1.8073e+02	
8.3000e+01	3.8478e-01	6.5244e+03	2.0753e+00	1.8201e+02	
8.4000e+01	3.6740e-01	6.7059e+03	2.1622e+00	1.8319e+02	
8.5000e+01	3.4764e-01	6.8888e+03	2.2285e+00	1.8443e+02	
8.6000e+01	3.2920e-01	7.0738e+03	2.2864e+00	1.8556e+02	
8.7000e+01	3.0891e-01	7.2603e+03	2.3062e+00	1.8675e+02	
8.8000e+01	2.8823e-01	7.4485e+03	2.3359e+00	1.8784e+02	
8.9000e+01	2.6842e-01	7.6384e+03	2.3252e+00	1.8892e+02	
9.0000e+01	2.4727e-01	7.8297e+03	2.2774e+00	1.9002e+02	
9.1000e+01	2.2466e-01	8.0223e+03	2.2273e+00	1.9106e+02	
9.2000e+01	2.0346e-01	8.2163e+03	2.1430e+00	1.9206e+02	
9.3000e+01	1.8236e-01	8.4115e+03	2.0152e+00	1.9306e+02	
9.4000e+01	1.6086e-01	8.6077e+03	1.8540e+00	1.9405e+02	
9.5000e+01	1.4052e-01	8.8049e+03	1.6453e+00	1.9503e+02	
9.6000e+01	1.2178e-01	9.0029e+03	1.3911e+00	1.9601e+02	
9.7000e+01	1.0163e-01	9.2015e+03	1.1134e+00	1.9697e+02	
9.8000e+01	8.3434e-02	9.4006e+03	8.0029e-01	1.9791e+02	
9.9000e+01	6.1617e-02	9.6001e+03	4.7502e-01	1.9881e+02	
1.0000e+02	3.9322e-02	9.7999e+03	1.2367e-01	1.9968e+02	
1.0100e+02	0.0000e+00	9.9999e+03	0.0000e+00	0.0000e+00	
