k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
3.5000e+01	-4.5798e-09	8.2958e-02	-3.8154e-03	-1.0402e-04	4.9900e-01	3.4238e+01	1.3741e-02	2.8910e-02	1.0000e+00	1.0085e+00	
3.6000e+01	-4.0496e-09	8.8763e-02	-4.1508e-03	-1.4301e-04	4.9891e-01	3.5256e+01	1.3928e-02	2.8124e-02	1.0000e+00	1.0089e+00	
3.7000e+01	-3.5194e-09	9.4743e-02	-4.5114e-03	-1.8263e-04	4.9882e-01	3.6275e+01	1.4120e-02	2.7380e-02	1.0000e+00	1.0092e+00	
3.8000e+01	-2.9878e-09	1.0090e-01	-4.8989e-03	-2.2286e-04	4.9872e-01	3.7295e+01	1.4317e-02	2.6677e-02	1.0000e+00	1.0096e+00	
3.9000e+01	-2.4536e-09	1.0724e-01	-5.3153e-03	-2.6372e-04	4.9861e-01	3.8316e+01	1.4520e-02	2.6010e-02	1.0000e+00	1.0101e+00	
4.0000e+01	-1.9164e-09	1.1375e-01	-5.7628e-03	-3.0520e-04	4.9849e-01	3.9338e+01	1.4729e-02	2.5378e-02	1.0000e+00	1.0105e+00	
4.1000e+01	-1.3757e-09	1.2046e-01	-6.2438e-03	-3.4731e-04	4.9837e-01	4.0361e+01	1.4943e-02	2.4778e-02	1.0000e+00	1.0110e+00	
4.2000e+01	-8.3145e-10	1.2736e-01	-6.7609e-03	-3.9007e-04	4.9824e-01	4.1385e+01	1.5164e-02	2.4207e-02	1.0000e+00	1.0115e+00	
4.3000e+01	-2.8327e-10	1.3445e-01	-7.3168e-03	-4.3349e-04	4.9810e-01	4.2411e+01	1.5392e-02	2.3664e-02	1.0000e+00	1.0120e+00	
4.4000e+01	2.6924e-10	1.4176e-01	-7.9149e-03	-4.7758e-04	4.9794e-01	4.3438e+01	1.5626e-02	2.3147e-02	1.0000e+00	1.0126e+00	
4.5000e+01	8.2695e-10	1.4928e-01	-8.5584e-03	-5.2237e-04	4.9778e-01	4.4466e+01	1.5867e-02	2.2654e-02	1.0000e+00	1.0132e+00	
4.6000e+01	1.3904e-09	1.5703e-01	-9.2511e-03	-5.6785e-04	4.9761e-01	4.5496e+01	1.6116e-02	2.2184e-02	1.0000e+00	1.0138e+00	
4.7000e+01	1.9606e-09	1.6502e-01	-9.9973e-03	-6.1403e-04	4.9742e-01	4.6527e+01	1.6372e-02	2.1735e-02	1.0000e+00	1.0145e+00	
4.8000e+01	2.5383e-09	1.7327e-01	-1.0801e-02	-6.6090e-04	4.9722e-01	4.7560e+01	1.6637e-02	2.1306e-02	1.0000e+00	1.0153e+00	
4.9000e+01	3.1242e-09	1.8178e-01	-1.1668e-02	-7.0843e-04	4.9701e-01	4.8595e+01	1.6911e-02	2.0896e-02	1.0000e+00	1.0160e+00	
5.0000e+01	3.7187e-09	1.9058e-01	-1.2603e-02	-7.5660e-04	4.9678e-01	4.9631e+01	1.7194e-02	2.0504e-02	1.0000e+00	1.0168e+00	
5.1000e+01	4.3223e-09	1.9967e-01	-1.3613e-02	-8.0539e-04	4.9654e-01	5.0669e+01	1.7487e-02	2.0129e-02	1.0000e+00	1.0177e+00	
5.2000e+01	4.9355e-09	2.0907e-01	-1.4703e-02	-8.5477e-04	4.9627e-01	5.1709e+01	1.7790e-02	1.9770e-02	1.0000e+00	1.0187e+00	
5.3000e+01	5.5586e-09	2.1879e-01	-1.5881e-02	-9.0473e-04	4.9599e-01	5.2752e+01	1.8104e-02	1.9426e-02	1.0000e+00	1.0196e+00	
5.4000e+01	6.1920e-09	2.2884e-01	-1.7155e-02	-9.5523e-04	4.9569e-01	5.3796e+01	1.8429e-02	1.9097e-02	1.0000e+00	1.0207e+00	
5.5000e+01	6.8354e-09	2.3924e-01	-1.8533e-02	-1.0062e-03	4.9537e-01	5.4843e+01	1.8766e-02	1.8782e-02	1.0000e+00	1.0218e+00	
5.6000e+01	7.4881e-09	2.5000e-01	-2.0026e-02	-1.0577e-03	4.9502e-01	5.5892e+01	1.9116e-02	1.8480e-02	1.0000e+00	1.0230e+00	
5.7000e+01	8.1500e-09	2.6114e-01	-2.1643e-02	-1.1095e-03	4.9464e-01	5.6944e+01	1.9479e-02	1.8191e-02	1.0000e+00	1.0243e+00	
5.8000e+01	8.8193e-09	2.7267e-01	-2.3396e-02	-1.1616e-03	4.9424e-01	5.7998e+01	1.9856e-02	1.7914e-02	1.0000e+00	1.0257e+00	
5.9000e+01	9.4956e-09	2.8462e-01	-2.5298e-02	-1.2139e-03	4.9381e-01	5.9056e+01	2.0249e-02	1.7649e-02	1.0000e+00	1.0271e+00	
6.0000e+01	1.0177e-08	2.9701e-01	-2.7364e-02	-1.2664e-03	4.9334e-01	6.0116e+01	2.0657e-02	1.7395e-02	1.0000e+00	1.0287e+00	
6.1000e+01	1.0863e-08	3.0987e-01	-2.9608e-02	-1.3190e-03	4.9284e-01	6.1180e+01	2.1082e-02	1.7152e-02	1.0000e+00	1.0303e+00	
6.2000e+01	1.1550e-08	3.2323e-01	-3.2048e-02	-1.3716e-03	4.9230e-01	6.2247e+01	2.1525e-02	1.6920e-02	1.0000e+00	1.0321e+00	
6.3000e+01	1.2238e-08	3.3711e-01	-3.4703e-02	-1.4242e-03	4.9171e-01	6.3318e+01	2.1987e-02	1.6699e-02	1.0000e+00	1.0340e+00	
6.4000e+01	1.2923e-08	3.5155e-01	-3.7593e-02	-1.4768e-03	4.9108e-01	6.4393e+01	2.2470e-02	1.6487e-02	1.0000e+00	1.0361e+00	
6.5000e+01	1.3602e-08	3.6658e-01	-4.0743e-02	-1.5293e-03	4.9040e-01	6.5472e+01	2.2974e-02	1.6286e-02	1.0000e+00	1.0383e+00	
6.6000e+01	1.4275e-08	3.8225e-01	-4.4178e-02	-1.5819e-03	4.8966e-01	6.6556e+01	2.3502e-02	1.6095e-02	1.0000e+00	1.0407e+00	
6.7000e+01	1.4943e-08	3.9862e-01	-4.7927e-02	-1.6346e-03	4.8886e-01	6.7644e+01	2.4055e-02	1.5913e-02	1.0000e+00	1.0432e+00	
6.8000e+01	1.5611e-08	4.1576e-01	-5.2022e-02	-1.6877e-03	4.8799e-01	6.8738e+01	2.4634e-02	1.5741e-02	1.0000e+00	1.0460e+00	
6.9000e+01	1.6283e-08	4.3376e-01	-5.6498e-02	-1.7413e-03	4.8705e-01	6.9837e+01	2.5242e-02	1.5578e-02	1.0000e+00	1.0489e+00	
7.0000e+01	1.6968e-08	4.5271e-01	-6.1396e-02	-1.7954e-03	4.8602e-01	7.0942e+01	2.5882e-02	1.5425e-02	1.0000e+00	1.0521e+00	
7.1000e+01	1.7671e-08	4.7269e-01	-6.6759e-02	-1.8501e-03	4.8491e-01	7.2053e+01	2.6556e-02	1.5282e-02	1.0000e+00	1.0556e+00	
7.2000e+01	1.8398e-08	4.9381e-01	-7.2639e-02	-1.9052e-03	4.8369e-01	7.3171e+01	2.7266e-02	1.5148e-02	1.0000e+00	1.0593e+00	
7.3000e+01	1.9151e-08	5.1616e-01	-7.9089e-02	-1.9605e-03	4.8236e-01	7.4296e+01	2.8017e-02	1.5025e-02	1.0000e+00	1.0633e+00	
7.4000e+01	1.9932e-08	5.3988e-01	-8.6173e-02	-2.0158e-03	4.8091e-01	7.5429e+01	2.8811e-02	1.4911e-02	1.0000e+00	1.0677e+00	
7.5000e+01	2.0742e-08	5.6509e-01	-9.3959e-02	-2.0710e-03	4.7932e-01	7.6571e+01	2.9654e-02	1.4808e-02	1.0000e+00	1.0724e+00	
7.6000e+01	2.1579e-08	5.9196e-01	-1.0253e-01	-2.1261e-03	4.7757e-01	7.7722e+01	3.0550e-02	1.4716e-02	1.0000e+00	1.0776e+00	
7.7000e+01	2.2447e-08	6.2065e-01	-1.1196e-01	-2.1812e-03	4.7565e-01	7.8882e+01	3.1503e-02	1.4635e-02	1.0000e+00	1.0832e+00	
7.8000e+01	2.3354e-08	6.5137e-01	-1.2237e-01	-2.2366e-03	4.7354e-01	8.0054e+01	3.2521e-02	1.4566e-02	1.0000e+00	1.0893e+00	
7.9000e+01	2.4311e-08	6.8439e-01	-1.3385e-01	-2.2927e-03	4.7121e-01	8.1237e+01	3.3609e-02	1.4509e-02	1.0000e+00	1.0959e+00	
8.0000e+01	2.5327e-08	7.1996e-01	-1.4654e-01	-2.3497e-03	4.6863e-01	8.2433e+01	3.4776e-02	1.4465e-02	1.0000e+00	1.1032e+00	
8.1000e+01	2.6414e-08	7.5843e-01	-1.6058e-01	-2.4080e-03	4.6576e-01	8.3643e+01	3.6031e-02	1.4435e-02	1.0000e+00	1.1112e+00	
8.2000e+01	2.7577e-08	8.0016e-01	-1.7611e-01	-2.4675e-03	4.6257e-01	8.4868e+01	3.7385e-02	1.4420e-02	1.0000e+00	1.1199e+00	
